,degree,betweenness,eigenvector
Juan Francisco Lopez Sanchez,9,0.0,0.0018525524106544232
jerks,6,0.0,0.00011167181930415636
Homer Simpson,6,0.0,0.00011167181930415636
Alice Walton,6,0.0,0.00011167181930415636
Walton,6,0.0,0.00011167181930415636
Arthur Prioleau,9,0.0,0.00012970972542989434
Jeannine Bell,9,0.0,0.00012970972542989434
Martin Lijtmaer,9,0.0,0.00012970972542989434
Tod Burke,9,0.0,0.00012970972542989434
Burke,33,0.00012089969930339168,0.0015730877314945923
Kaylin Minton,20,0.0,0.003179841299874026
Rigell,80,5.0375947815085834e-06,0.010294456654715789
Maria Comella,20,0.0,0.003179841299874026
Gangel,20,0.0,0.003179841299874026
Hubert Humphrey's,10,0.0,0.0026274719737511736
Shirley Henry,5,0.0,0.000824122302689541
Brian Schatz,26,0.0,0.001991051250907353
Abraham Foxman,26,0.0,0.001991051250907353
D-R.I.,26,0.0,0.001991051250907353
Nancy Garcia,25,0.0,0.002628573314160762
Gregg Cummings,25,0.0,0.002628573314160762
Scott Keller,25,0.0,0.002628573314160762
Lisa Clemans-Cope,5,0.0,0.00037051565294268036
Nathaniel Anderson,5,0.0,0.00037051565294268036
Jon Gabel,5,0.0,0.00037051565294268036
Gabel,5,0.0,0.00037051565294268036
Cathy Cuthbertson,19,0.0,0.003605689410004213
Trumpster,23,0.0,0.0024688267871234414
Jan Mickelson,23,0.0,0.0024688267871234414
Stacy Dash,23,0.0,0.0024688267871234414
Dash,25,0.0,0.002477512255524911
Chris Kyle Day,23,0.0,0.0024688267871234414
Nick sprung,15,0.0,0.0018284190984144849
Richard Berman,15,0.0,0.0018284190984144849
Scott Wilson,15,0.0,0.0018284190984144849
Jose Fuentes,14,0.0,0.003377571354747759
Ernie Ratcliffe,12,0.0,0.002645129102030811
Ratcliffe,14,0.0,0.0026544330314457053
Randal Thom,12,0.0,0.002645129102030811
anti-Wasserman Schultz Democrats,12,0.0,0.0027138481372403914
Ed] Rendell,12,0.0,0.0027138481372403914
Dave Beattie,12,0.0,0.0027138481372403914
Andrew Smith,81,1.4297732591317266e-05,0.010413326707980916
"HILLARY HOUSECALL

 Billionaire",60,0.0,0.009235070800536519
Kat Taylor,60,0.0,0.009235070800536519
Tom Clancy's,60,0.0,0.009235070800536519
Jeb - The,60,0.0,0.009235070800536519
Seth Myers,60,0.0,0.009235070800536519
Washington’,60,0.0,0.009235070800536519
Clow Valve,60,0.0,0.009235070800536519
KEEPS STATEN ISLAND,60,0.0,0.009235070800536519
Daniel Donovan,60,0.0,0.009235070800536519
Vincent Gentile,60,0.0,0.009235070800536519
Michael Grimm,73,1.6900077401268077e-05,0.009784679105277234
Eric Eslary,60,0.0,0.009235070800536519
Eric Eslary's,60,0.0,0.009235070800536519
Blek,62,0.0,0.009267559355881777
Michael Matrunics,60,0.0,0.009235070800536519
il-Duce,18,0.0,0.0018206149553109834
Robert Jay Lifton,18,0.0,0.0018206149553109834
Cath,18,0.0,0.0018206149553109834
Richard Hofstadter,18,0.0,0.0018206149553109834
Hofstadter,18,0.0,0.0018206149553109834
Immortan Joe,18,0.0,0.0018206149553109834
Rasputin,18,0.0,0.0018206149553109834
Kahler,1,0.0,1.3164278594433753e-32
Miles Kahler,1,0.0,1.3164278594433753e-32
Brian Katulis,8,0.0,0.00041871076400218474
Edward Levine,8,0.0,0.00041871076400218474
Richard Haass,28,1.102463218226037e-05,0.002676600431500814
Maksim Sokolov,6,0.0,0.0004223192858273717
Alice Fordham,11,1.150347204341397e-06,0.0005060915140066629
Abdel Fattah El Sisi,6,0.0,0.0004223192858273717
Mike Bailey,17,0.0,0.002001211459068958
Tom Goldstein,17,0.0,0.002001211459068958
Ralph,17,0.0,0.002001211459068958
Lind,17,0.0,0.002001211459068958
Jon Herskovitz,1,0.0,1.1366921627937456e-05
Savopoulos,29,9.474534848983572e-05,0.0003579872179356829
Savvas Savopoulos,25,3.184518348218171e-06,0.0003566990834422974
Veralicia Figueroa,29,9.474534848983572e-05,0.0003579872179356829
Philip,25,3.184518348218171e-06,0.0003566990834422974
Daron Dylon Wint,25,3.184518348218171e-06,0.0003566990834422974
Wint,29,9.474534848983572e-05,0.0003579872179356829
Natalie Lawson,15,0.0,0.0001378910256011912
Errol R. Arthur,15,0.0,0.0001378910256011912
Cathy L. Lanier,15,0.0,0.0001378910256011912
Amy Savopoulos,25,3.184518348218171e-06,0.0003566990834422974
Robert Fernandez,25,3.184518348218171e-06,0.0003566990834422974
Howard Johnson,15,0.0,0.0001378910256011912
Jim O'Sullivan,1,0.0,2.1973506474356833e-05
Baga,6,0.0,2.1682599483130458e-05
Doron Baga,6,0.0,2.1682599483130458e-05
Daniel Eyre,4,0.0,2.160654180190551e-05
Chris Fowler,7,0.0,1.9905622821386224e-05
Kathleen O'Toole,7,0.0,1.9905622821386224e-05
Jessica Ramirez,7,0.0,1.9905622821386224e-05
Diana Betancourt,7,0.0,1.9905622821386224e-05
Jorge Baron,7,0.0,1.9905622821386224e-05
Nikita Oliver,7,0.0,1.9905622821386224e-05
John Fugelsang,11,0.0,0.00042617977813073915
Susan Milligan,11,0.0,0.00042617977813073915
Egan,11,0.0,0.00042617977813073915
Dan Gainor,11,0.0,0.00042617977813073915
Kuffar,21,0.0,0.0006157782801953047
Zach Mouzoun,21,0.0,0.0006157782801953047
Denise Brandt,21,0.0,0.0006157782801953047
Marc Noel,21,0.0,0.0006157782801953047
Richard Norby,21,0.0,0.0006157782801953047
Joseph Empey,21,0.0,0.0006157782801953047
Mason Wells,21,0.0,0.0006157782801953047
Ian McCafferty,21,0.0,0.0006157782801953047
Yvan Majeur,21,0.0,0.0006157782801953047
Alexandre Brans,21,0.0,0.0006157782801953047
Richard Stengel,6,0.0,0.00039544959491864416
Clay Mulford,18,0.0,0.0037772317727902903
Mulford,18,0.0,0.0037772317727902903
Dean Barkley,18,0.0,0.0037772317727902903
Jesse Ventura,18,0.0,0.0037772317727902903
Bill Hillsman,18,0.0,0.0037772317727902903
Rendell,3,0.0,0.0005584787666424989
Lydia Saad,5,0.0,0.0014266937024881511
Barasky,18,0.0,0.003939415651024337
Stephanie Schriock,18,0.0,0.003939415651024337
Schriock,18,0.0,0.003939415651024337
Andy Spahn,18,0.0,0.003939415651024337
Rebecca Friedrichs,5,0.0,0.00021192412852743224
Jamiel Shaw Sr.,21,0.0,0.0038567013606379866
Linda Rawles,21,0.0,0.0038567013606379866
Eduardo Sainz,21,0.0,0.0038567013606379866
Joan Ewart,21,0.0,0.0038567013606379866
Behind The Shortage Of Special Ed Teachers: Long Hours,6,0.0,5.585570077633631e-10
David Pennington,6,0.0,5.585570077633631e-10
Pennington,8,0.0,5.605224464258266e-10
Deborah Ziegler,6,0.0,5.585570077633631e-10
Trevor Greene,6,0.0,5.585570077633631e-10
Betty Olson,6,0.0,5.585570077633631e-10
Behold Twitter,9,0.0,0.0021805992085614364
Jeffress,9,0.0,0.0006049052336340987
Jesse Walker,17,0.0,0.003798964533980891
Stone,63,1.4060769002930452e-05,0.005463776001030244
Ari Berman,17,0.0,0.003798964533980891
Chuck Pennachio,17,0.0,0.003798964533980891
Joe Lenski,17,0.0,0.003798964533980891
Payne,37,7.119870766382357e-06,0.006317334015063288
Committee,17,0.0,0.002951425317235484
John Philip Sousa IV,17,0.0,0.002951425317235484
Sousa,17,0.0,0.002951425317235484
Robert T. Grand,17,0.0,0.002951425317235484
McCants,8,0.0,8.26787487786981e-05
Osama],6,0.0,8.238873651776694e-05
Harleen Gambhir,6,0.0,8.238873651776694e-05
Gambhir,8,0.0,8.26787487786981e-05
Doyle McManus,12,0.0,0.0011899303568676143
Ryanesque,12,0.0,0.0011899303568676143
Democraticclaims,12,0.0,0.0011899303568676143
David Brockian-type,12,0.0,0.0011899303568676143
Media Matters,14,0.0,0.001194116752851906
Breitbart] Breitbart,12,0.0,0.0011899303568676143
Charles Lenchner,10,0.0,0.0019714845524494815
Thou,10,0.0,0.0019714845524494815
Despair,10,0.0,0.0019714845524494815
Randall Ferrara,14,0.0,0.0032120792461331803
Shirley Ferrara,14,0.0,0.0032120792461331803
Rachel Reekie,14,0.0,0.0032120792461331803
Reekie,14,0.0,0.0032120792461331803
Charlie Wilson’s,14,0.0,0.0008584608970154782
Salah al-Din,14,0.0,0.0008584608970154782
Rafi Issawi,14,0.0,0.0008584608970154782
Ayad Allawi,14,0.0,0.0008584608970154782
Mujahideen al-Khalq,14,0.0,0.0008584608970154782
Larry Keane,7,0.0,0.000569789163185215
Tim Murphy,27,2.6996005114242936e-05,0.004059183400758352
Kimberly Corban,7,0.0,0.000569789163185215
Sheriff Paul Babue,7,0.0,0.000569789163185215
Frank Miniter,7,0.0,0.000569789163185215
Lawrence O’Donnell,9,0.0,0.0002448508295447537
Jane Cook,9,0.0,0.0002448508295447537
Jerry Rodriguez,24,5.222034687875739e-06,0.0007032637172706799
Jan Baran,21,0.0,0.002381112422304602
Alec Gerlach,21,0.0,0.002381112422304602
Jim Thessin,21,0.0,0.002381112422304602
Terry Krinvic,21,0.0,0.002381112422304602
Doug Band,21,0.0,0.002381112422304602
Steve Bing's,21,0.0,0.002381112422304602
Casey Wasserman,21,0.0,0.002381112422304602
Krinvic,23,0.0,0.002389488240015116
Plc,21,0.0,0.002381112422304602
Robert Diamond,21,0.0,0.002381112422304602
Vince Coglianese,3,0.0,0.0005095415503564864
Rules Against Agency,3,0.0,0.0005095415503564864
Pokemon,9,0.0,0.0030355071737613293
P. Manafort,12,0.0,0.002477777036861897
Meehan,14,0.0,0.0015888510125875834
Yitzhak Herzog's,12,0.0,0.0015832804553136772
Pierre Trudeau,8,0.0,0.0007127998753127053
Trudeau,16,1.3921791278465095e-05,0.0017068677203545305
Stephen Harper,20,1.4366619416858696e-05,0.0014377175148110803
Dan Karpenchuk,8,0.0,0.0007127998753127053
Justin Pierre Trudeau,8,0.0,0.0007127998753127053
Mark Naison,18,0.0,0.003313305317540758
Jerald Podair,18,0.0,0.003313305317540758
Dylan Rodriguez,18,0.0,0.003313305317540758
Montgomery Marches,18,0.0,0.003313305317540758
Whitmanesque,18,0.0,0.003313305317540758
Naison,18,0.0,0.003313305317540758
George Soros’s,18,0.0,0.0028553981963826665
Mario M. Cuomo,18,0.0,0.0028553981963826665
Lissa Muscatine,18,0.0,0.0028553981963826665
Muhammad Yunus,18,0.0,0.0028553981963826665
Bind Therapeutics,1,0.0,1.3164278594433753e-32
Michael O'Rourke,1,0.0,1.3164278594433753e-32
Mike Leavitt,63,0.0,0.009243547757084603
Daniel Horowitz,63,0.0,0.009243547757084603
Kevin Brady,63,0.0,0.009243547757084603
Mufasa,63,0.0,0.009243547757084603
Jon Meacham,63,0.0,0.009243547757084603
Maya Angelou,63,0.0,0.009243547757084603
Vince Insalaco,63,0.0,0.009243547757084603
Suzanne Downing,63,0.0,0.009243547757084603
gusty,63,0.0,0.009243547757084603
Aaron C. Davis,97,7.42523432790381e-05,0.009992942389699892
Maria Esteves,63,0.0,0.009243547757084603
Ours,15,0.0,0.003304748443385661
Muammar Qaddafi,15,0.0,0.003304748443385661
Draft Biden,7,0.0,0.001591563471677359
Diner,6,0.0,0.000515873517233462
Jenkins,20,8.482738060371142e-06,0.0012605717576056434
Sgt White’s Diner,6,0.0,0.000515873517233462
Fort Sumter,6,0.0,0.000515873517233462
J. Dennis Hastert,20,0.0,0.002080960132791473
