,degree,betweenness,eigenvector
John F. Kerry,291,0.0013268520959074284,0.013956129769008573
Laurent Fabius,85,9.626535470310364e-05,0.004089866705743195
Francois Hollande,220,0.00227200992176967,0.010604585868317818
Kerry,517,0.004638286165062889,0.023663300378197603
Obama,4640,0.17198251617183505,0.12890839844691354
Benjamin Netanyahu,561,0.004951577770983044,0.030326311085725297
Jane Hartley,76,0.00010055788537119252,0.006541308026066337
Victoria Nuland,49,5.444535783990582e-05,0.00403008311107875
Eric H. Holder Jr.,22,2.284308490021687e-06,0.0012466042081245112
Narendra Modi,71,0.0007170252757519597,0.0047741232214639434
Donald Trump,4710,0.08653938313500951,0.14991264049161543
Hillary Clinton,4943,0.08563151909721294,0.15633634901440532
Ted Cruz,3208,0.03516483488312504,0.12762201382546118
Bernie Sanders,2949,0.025806347530307378,0.1222916873725086
D-Vt.,98,3.6874064140716284e-05,0.013410832026189519
John Kasich,1547,0.006061696570309749,0.08302238519888809
Clinton,4711,0.07927756248438121,0.1530989988763459
Trump,3799,0.04956606059574627,0.13543667094462686
Cruz,2209,0.013730494776912487,0.09790464840554083
Hillary,2532,0.014966318585569478,0.11567155020726556
Kasich,969,0.002547365865537904,0.05631335016018466
Dubbed,2,0.0,2.447397919659268e-06
Nicholas Winton,2,0.0,2.447397919659268e-06
Queen Elizabeth II,9,0.00034228573820272573,0.0006931965989966723
Moammar Gadhafi,118,0.0002657700414385058,0.010603502411728092
Matt Lauer,139,0.000395596913485575,0.01196463165668179
Howard Stern,78,2.5941279456420245e-05,0.008848621084366896
Neil Cavuto,119,3.134746104757783e-05,0.01404037120171229
Cavuto,94,1.1317205166237381e-05,0.011430334825841394
Chris Matthews,226,0.00023121634047342616,0.023937046869847163
Joe Scarborough,144,3.0076502509150442e-05,0.015632358042117878
George W. Bush,2345,0.023623450806324803,0.10129590056241891
Bush,2647,0.027071085149303408,0.10361461591507645
Condoleezza Rice,338,0.00040356576970478487,0.029418730122190147
Nouri al-Maliki,96,0.00012229957190201284,0.008392760628360493
Leon Panetta,133,6.562173568271967e-05,0.011493425207954122
Maliki,60,3.284973516019443e-05,0.0071308901435329745
Raul Castro,65,6.461640062604936e-05,0.00731413010259995
Salman,131,0.0010062056949789611,0.008997950534074475
Ronald Reagan,1348,0.007272718189316053,0.06997691872521355
Reagan,1410,0.008044707166143132,0.0715755720465327
Helmut Kohl,33,0.0,0.0053005175858071105
Glenn Kessler,160,5.690151097426745e-05,0.018210947318785614
Kessler,56,1.746299018907383e-05,0.0067954089204164255
Richard Nixon,655,0.0023374079880839425,0.0403918860383879
Zhou Enlai,33,0.0,0.0053005175858071105
Mao,39,1.5051254640999247e-05,0.005409995884765222
Nixon,493,0.001432937724176111,0.035110343766931416
Lauer,44,0.0001760577447475583,0.00536565939936262
Gadhafi,39,4.854531614034327e-07,0.006250273513320788
Rachel Maddow,100,0.000117889903340875,0.009694784625696982
Maddow,49,5.476274760996124e-05,0.006579202166324361
Olli Heinonen,10,2.190926471015093e-07,0.0007729113153839758
John Kerry,1025,0.012305821299661375,0.05071453960212911
Edward Kennedy,18,5.8237603339516145e-06,0.0033864147695729452
Frank-Walter Steinmeier,94,0.00029044500709850236,0.0069276987796851545
Mohammad Javad Zarif,87,0.00012528540150372961,0.005824092383955834
Bill Clinton,2375,0.01629570288173139,0.10496006299473025
Bill,879,0.0031386398597406362,0.052510696912198764
Chelsea Clinton,96,3.6040258616438195e-05,0.010733146371438946
Cigi Ross,8,0.0,0.0025275803643091655
Chelsea Clinton's,10,1.7747340639525308e-07,0.002539202881250677
Politico,1158,0.004725320711613632,0.0721314269765933
Alan Cobb,37,2.127162824647671e-06,0.00453577869631611
Joni Ernst,313,0.00026592663369503746,0.02633132075542751
Kelly Ayotte,567,0.0006169190857861141,0.04520854571241032
Ayotte,268,9.129003650019482e-05,0.025877604682881895
Ernst,45,0.0,0.00309154553450213
Maggie Hassan,302,0.0001331555215727535,0.027998352553215346
Angela Merkel,279,0.003363087850911422,0.013197165441201085
Jeanne Shaheen,98,1.7155683836234544e-05,0.00796198233977649
Nancy Pelosi,660,0.0025691334606634353,0.0375555903634264
Peter Kuhn,45,0.0,0.00309154553450213
Marie-Claire Villeval,45,0.0,0.00309154553450213
Stefano Gagliarducci,45,0.0,0.00309154553450213
M. Daniele Paserman,45,0.0,0.00309154553450213
Shaheen,66,7.467480916683993e-06,0.004826909035169154
Lisa Murkowski,160,0.0006116762485025795,0.013879909443072163
Maria Cantwell,54,1.0895599102397706e-05,0.004573409021041212
Mikulski,95,2.9496048097054714e-05,0.00627067054488853
Barbara Mikulski,138,9.119871170751626e-05,0.011114379171278553
Susan Collins,198,0.00021387331563754754,0.016366740795171884
John McCain,1513,0.008115193845817617,0.07751170955962611
Michele Swers,45,0.0,0.00309154553450213
Swers,45,0.0,0.00309154553450213
John Sununu,84,1.3365053962457749e-05,0.00799176710115166
Liz Shuler,45,0.0,0.00309154553450213
Shuler,45,0.0,0.00309154553450213
Alice H.,45,0.0,0.00309154553450213
Margaret Thatcher,104,0.00010438612592825265,0.006918839782986501
Golda Meir,45,0.0,0.00309154553450213
Tim Cook,108,0.00010380280182269263,0.00608939032084377
Hassan,141,0.00035773719190605285,0.008381395288834255
Sylvia Larsen,45,0.0,0.00309154553450213
Ask Ayotte,45,0.0,0.00309154553450213
Ruth Griffin,47,0.0,0.003102421639665019
Griffin,47,0.0,0.003102421639665019
Marilla Ricker,45,0.0,0.00309154553450213
Susan McLane,45,0.0,0.00309154553450213
McLane,45,0.0,0.00309154553450213
Ann McLane Kuster,45,0.0,0.00309154553450213
Sununu,109,4.715709724186905e-05,0.009579184451222352
Vesta Roy,45,0.0,0.00309154553450213
Debbie Walsh,45,0.0,0.00309154553450213
Walsh,91,3.936731564445374e-05,0.00901747865060563
Jennifer Horn,78,2.0064486866756112e-05,0.008545582348420054
Horn,45,0.0,0.00309154553450213
Barack Obama,2854,0.05740949052367338,0.10218658957722619
Bob Corker,170,0.00019022967438909896,0.016126143920379456
Ayatollah Ali Khamenei,86,8.794081838702056e-05,0.00447489783842801
Hassan Rouhani,107,0.00016595307841325358,0.005716152871863822
Corker,86,5.210220790496691e-05,0.009430498183946518
Bob Menendez,75,2.7658831058400392e-05,0.006523570878240232
Angus King,105,9.646828424656927e-05,0.010250788966783815
Chuck Schumer,260,0.0002812167429774842,0.02324469406378205
Harry Reid,877,0.001770478339665492,0.0627473129846669
Tim Kaine,935,0.001595336263326504,0.06631670071919166
Breitbart,498,0.0003665380917176758,0.0429260344858564
Pamela Geller,29,0.00013857237164667275,0.003971220869797939
Paul D. Ryan,270,0.0001263116305294236,0.026562401584086424
Islamophobia,16,0.0,0.003806405566788928
Jeb Bush,2208,0.015263518055782951,0.0959030566262093
Biden,940,0.0026781149226716735,0.06323242636827792
PolitiFact,60,0.00018064600515919904,0.0073841004525560605
Newt Gingrich,859,0.002188909498392061,0.055751107983886425
John Cornyn,269,0.00046859758978724043,0.024132160951219297
John Feehery,70,8.118434405400659e-05,0.009676740993850486
E.J. Dionne’s,28,4.8172298654269215e-05,0.005204977455882263
George W. Bush,15,0.0,0.005278787838286041
Bill Bratton,27,0.0004491923937942082,0.005419872559255326
Debi Rose,15,0.0,0.005278787838286041
Bill de Blasio,184,0.0005492758182671214,0.01878456325108492
McConnell,572,0.0012435518734741529,0.03934323900024491
Mitch McConnell,1414,0.008310810451282187,0.07442363237929166
Harry M. Reid,170,0.00017173691390014902,0.015331368907066366
D-Nev,240,0.0003822182924076974,0.02068348533779444
John A. Boehner,247,0.0004244749718504307,0.018215872920793838
Reid,571,0.0008717174840781475,0.042096225287694695
Adam Jentleson,42,3.933820328181471e-05,0.0044904030508458774
Alben W. Barkley,16,0.0,0.002599699690885008
Franklin D. Roosevelt,89,4.043191168481885e-05,0.010071967451150257
George Mitchell,30,1.3804327286672461e-05,0.003770053891651798
Mitchell,114,0.0022341472038553516,0.007002109478166727
George H.W. Bush,832,0.0021371079249766244,0.05579235093465291
Rand Paul,1191,0.005410701651285312,0.05910585684739788
R-Ky.,361,0.0005699708274508388,0.028239831786750363
Joe Biden,1024,0.007218475237284873,0.056585137886153776
Elizabeth Warren,965,0.0031484716355118926,0.060314112825657254
Bill Kristol,158,3.704330919878703e-05,0.0177194205686957
Kristol,38,1.524079953984797e-06,0.00658802243985699
Bob Vander Plaats,128,0.00015396573499213196,0.013122465325890616
Kate Bolduan,40,1.3266668078382717e-05,0.006895618974613427
Vander Plaats,54,7.939150949912617e-06,0.008209496691770835
Kendal Unruh,43,0.0001287373318208783,0.006794479582348626
Jim Bopp,25,0.0,0.004515655041827244
Bopp,25,0.0,0.004515655041827244
Solomon Yue,25,0.0,0.004515655041827244
anti-Washington,25,0.0,0.004515655041827244
Curly Haugland,65,1.734485394776564e-05,0.007379763538160388
Sean Parnell,25,0.0,0.004515655041827244
Parnell,25,0.0,0.004515655041827244
Paul Ryan,1434,0.005947834292920429,0.08459830464381064
Mark Kirk,331,0.00034950238381433515,0.030207030837840307
Ryan,978,0.006132300844358715,0.06125529992751107
Marco Rubio,2430,0.01747782008923757,0.10381676840764316
Gonzalo Curiel,299,0.0002570465213384282,0.028334886119876456
Curiel,204,6.432833326076797e-05,0.020532018122120452
Corey Lewandowski,589,0.0009859066942833773,0.047790171982997086
Paul Manafort,693,0.0009346341100306188,0.04992803704366305
Rick Wiley,93,3.424236130561092e-05,0.010063860925298125
Wiley,42,4.630817715207399e-06,0.00542070515190191
Sullivan,275,0.0002828807888636897,0.024400476678566173
Robert Costa,516,0.00022420480754610538,0.04916924773085303
J. Fred Buzhardt,1,0.0,0.0001421347688064565
Hillary Rodham Clinton,807,0.003288902919934663,0.04228407375398995
Mitt Romney,566,0.0007950691451133417,0.040216967037228844
Matthew Dowd,28,0.0,0.004992466592459046
George W. Bush’s,262,0.0005327437344903547,0.02240234254143712
Lawrence Mishel,28,0.0,0.004992466592459046
Yuval Levin,39,2.9383502900380234e-05,0.005387281784851014
Romney,862,0.0021133622254470756,0.055877205209683985
Levin,68,5.19368937954844e-06,0.009849575092348078
Neera Tanden,201,6.12351494776571e-05,0.022258862833087513
Grover Norquist,138,0.0006458824311961144,0.014136830513500714
William Galston,69,7.338562724162609e-06,0.009628071083855886
Galston,46,1.7719336546299007e-06,0.008297191346937242
Rick Santorum,635,0.0014643665617965667,0.04145076427876585
Mike Huckabee,815,0.003212966514199649,0.04677231230505635
R-Wis.,433,0.0010278775912804074,0.03297424950707317
Jared Bernstein,28,0.0,0.004992466592459046
Bernstein,85,1.9943648659804196e-05,0.010045216110109566
Janet Yellen,70,0.0014934867129048806,0.006246806949355849
Steven Ricchiuto,6,0.0,0.0005617908392845109
Chris Gaffney,6,0.0,0.0005617908392845109
Gaffney,6,0.0,0.0005617908392845109
Paul Ashworth,10,4.010189889220417e-06,0.0009341759465375217
Yellen,25,9.425675202373014e-05,0.0013960282531626787
Universe Alicia Machado,58,3.5781094557375855e-06,0.008622981726214132
Universe,84,2.832443682784222e-05,0.0106387694223361
James Jay Carafano,5,0.0,0.0006739782997713951
Lyndon Johnson,298,0.0007715309875968422,0.01979899046814986
Reconstruction,33,0.0,0.005140588987645832
Frances Lee,45,5.567620898364567e-05,0.005302101965982368
Alan Abramowitz,145,9.350673213079537e-05,0.013955990162396245
Steven Webster,67,1.3495183973194567e-05,0.008693650081404682
anti-Bush,33,0.0,0.005140588987645832
Stalin,47,1.8947341473765755e-06,0.006114423479183801
Hitler,307,0.0014507460261571445,0.02484062854209216
John Boehner,1053,0.006670418658022983,0.054394472263481826
anti-Clinton,83,1.5260130260670214e-05,0.010201883181925879
Antonio Weiss,33,0.0,0.005140588987645832
Jack Lew,109,0.00020195783464865987,0.011189618647788986
Warren,593,0.0029126402749157457,0.035354373083032194
Howard Taft,33,0.0,0.005140588987645832
Teddy Roosevelt,54,0.00016716907146043178,0.007316152871698555
Woodrow Wilson,174,0.00017763813665100094,0.016200356014082488
Grant McConnell,33,0.0,0.005140588987645832
Hans Noel,97,2.0457815940760575e-05,0.011225554329748866
Noel,89,0.00017938529030523043,0.008135824302405725
George Norris,33,0.0,0.005140588987645832
Joe Cannon,33,0.0,0.005140588987645832
Gingrich,483,0.00021534376565878648,0.04292663862654675
Thomas Reed,33,0.0,0.005140588987645832
Boehner,842,0.00295604571584975,0.04901791404665814
Charlie Hebdo,366,0.010421535274352047,0.01256694893710803
Geller,23,1.7115165354516456e-06,0.00024897970261285096
Gordon Coonfield,11,0.0,0.00016481530300900958
Cartoon Contest,21,1.7115165354516456e-06,0.00024810648986676017
Coonfield,13,0.0,0.00016539535486379014
Muhammad,156,0.0012044841671523174,0.0031927663250414834
Der Ewige Jude,11,0.0,0.00016481530300900958
Linda Sarsour,11,0.0,0.00016481530300900958
Sarsour,11,0.0,0.00016481530300900958
Tsarnaev,37,0.00010882394046951178,0.0011145420765817928
Charlie,87,0.000145111635454716,0.0016750809833855976
Michael Cantalupo,14,0.0,0.0026996510125281
Cantalupo,14,0.0,0.0026996510125281
Denise Guardascione,14,0.0,0.0026996510125281
Guardascione,16,0.0,0.002709145912801267
Archie Bunker’s,14,0.0,0.0026996510125281
Jeanne Zaino,19,4.892829913155657e-06,0.003668415968591603
Sanders,471,0.0008410344681809311,0.030154593618766785
Dan Hopkins,39,1.8750939816558942e-05,0.004743103657572043
Charles Schumer,53,7.712730152426833e-05,0.005687683797672565
Zaino,14,0.0,0.0026996510125281
Hillary Clinton's,736,0.002600635112746496,0.043607679085943894
Saddam Hussein,449,0.004788787997401635,0.024306643343765155
al-Shabaab,9,0.0,0.00350238473042349
Ellen Tauscher,8,0.0,0.0027742837582134497
Donald Trump's,730,0.0019681219056821393,0.04458179463868863
Andrew P. Napolitano,17,6.452868400151574e-06,0.003162416739181465
Rubio,307,0.0002794232021716821,0.025447443653872383
Dana Milbank,214,0.000551191551483592,0.019940802567146337
Twitter,668,0.005053081858634655,0.03918371362551523
Eric Holder,239,0.001807360090723442,0.017968460982686358
Loretta Lynch,503,0.00251107440463212,0.035609142316693085
Loretta Lynch's,24,1.2096155805768995e-05,0.003919052090923773
Lorenzo A. Lynch,10,0.0,0.0011347533873598131
Lorenzo Lynch,23,8.190483913143031e-06,0.0019679096302150337
Tim Heaphy,10,0.0,0.0011347533873598131
Abner Louima,10,0.0,0.0011347533873598131
Greg Meeks,19,3.411694561126554e-06,0.0020795416550946828
Mark Zuckerberg,71,0.0006794591453848075,0.00726601775851371
Zuckerberg,44,9.050814228529918e-05,0.007290822564690701
Dan Gillmor,2,0.0,5.120728908858252e-05
Omar Mateen,87,0.00037935186083593806,0.00609504540178084
Zahi Salman,15,0.0,0.0008639697140056977
Mateen,96,0.00037067381828312254,0.004808091100648985
Peter King,237,0.0003109817652810847,0.022386346657639226
Buddy Dyer,15,0.0,0.0008639697140056977
James Comey,377,0.0009290174342245514,0.03261251341335948
Patience Carter,15,0.0,0.0008639697140056977
Matthew Gentili,15,0.0,0.0008639697140056977
Sara Brady,15,0.0,0.0008639697140056977
Sitora Yusufiy,28,2.3610573751458195e-05,0.0012094955927256948
Seddique Mateen,57,6.713093812069861e-05,0.0037900753264105518
Dr Chadwick Smith,15,0.0,0.0008639697140056977
Rick Perry,788,0.0012643258966970486,0.05446080322376873
Hector De Leon,19,0.0,0.0032998163527774137
De Leon,19,0.0,0.0032998163527774137
Lionel Sosa,33,8.311958858148277e-06,0.006114058977960731
Sylvia Manzano,59,2.7189564193314568e-05,0.007103297239480109
Manzano,19,0.0,0.0032998163527774137
Columba,74,1.2345871445104583e-05,0.01073360420738387
P. Bush,19,0.0,0.0032998163527774137
George P. ,19,0.0,0.0032998163527774137
Perry,424,0.00034765389696205065,0.034862774921483805
Tony Sanchez,19,0.0,0.0032998163527774137
Paul,929,0.005000086868104841,0.0532756366380647
Ed Rogers,15,0.0,0.004132452743919863
Charlie Black,127,4.1372307843885227e-05,0.0164490368594822
Brian Walsh,34,1.4118042227645381e-06,0.007693185509796109
Texan,15,0.0,0.004132452743919863
Stevens,213,0.00014829092729890913,0.018724936023750582
George Herbert Walker Bush,57,7.02321234080861e-06,0.00803083942746307
Bernie Sanders's,122,7.841891006751658e-05,0.011595367354554178
Linsdey Graham,9,0.0,0.0030655893332604688
Graham,617,0.004195506212776414,0.046418806996926215
Ben Carson,1294,0.005307191797766967,0.07031117032645849
Carson,658,0.0018111534288115239,0.0439306483759789
Ari Fleischer,82,1.4173449339235992e-05,0.011757125201215461
Fleischer,20,0.0,0.005029132579363135
Stuart Stevens,111,2.3816630074976345e-05,0.01386078330071715
Lewandowski,287,0.00019985369235733306,0.027715230628513762
Jeb,953,0.001976225699753456,0.0589365680544508
Chris Christie,1601,0.007488598881305394,0.08772113988730572
Christie,739,0.001339201826897901,0.0532037914999216
Johnson,921,0.006988284324038918,0.05237766786098055
Ferguson,288,0.0025733528458579823,0.010843671794702683
Steve Kornacki,19,8.77173843427144e-06,0.0019213037623886265
Michael Brown,349,0.004729049204046986,0.016199016344192536
Darren Wilson,211,0.001351835467082815,0.006197640109741906
Brown,409,0.0033522650241050033,0.030548100912316425
Wilson,169,0.001477462659160897,0.008888094300797438
Dorian Johnson,17,2.9231921548405874e-06,0.0005305465616308005
Eric Garner,154,0.0012070240793943202,0.009238054957868247
John Crawford III,17,6.671771816191201e-06,0.0007332938386874474
Levar Jones,11,0.0,0.0004934002713618181
Tamir Rice,53,0.0002585023539497194,0.002749527166316328
Dannel Malloy,20,0.0,0.0024506754192423564
Barney Frank,62,0.00011657211996596543,0.006083113088738209
Frank ,20,0.0,0.0024506754192423564
Malloy,36,2.737414102538346e-05,0.004927311230591131
Frank,64,0.00011657211996596543,0.006104512582729837
Brad Deutsch,26,6.912104367324065e-07,0.003452448073724378
Jim Roosevelt,20,0.0,0.0024506754192423564
Lorraine Miller,20,0.0,0.0024506754192423564
Debbie Wasserman Schultz,297,0.0004268489384903812,0.02414832612876831
Tim Canova,35,4.085959121148175e-06,0.004125396111498577
Wasserman Schultz,129,8.055268059568103e-05,0.011055109191648982
Deutsch,20,0.0,0.0024506754192423564
Tad Devine,82,2.8403020225675822e-05,0.007461918405272584
Devine,20,0.0,0.0024506754192423564
Leigh Appleby,20,0.0,0.0024506754192423564
Appleby,20,0.0,0.0024506754192423564
Valerie Jarrett,157,0.000330625969600928,0.008592819049218135
Jarrett,60,6.297507109737826e-05,0.003882565638142545
Ed Murray,44,0.0007736529401916073,0.003883771864447279
Murray,170,0.00050967644218035,0.017874145856742414
Jon Russell,15,0.0,0.0007150677604717754
Russell,59,3.657882811929945e-05,0.0011342864879114287
Tom Perez,123,0.00013637427061620453,0.01438522752525888
Perez,117,0.0002092066044040504,0.011281962188956154
Sherry Leiwant,15,0.0,0.0007150677604717754
John Eichelberger Jr.,15,0.0,0.0007150677604717754
Matthew Eshbaugh-Soha,15,0.0,0.0007150677604717754
Michael Nutter,83,0.00016133631060282692,0.008962126893136219
Mark McDonald,15,0.0,0.0007150677604717754
Bill Greenlee,15,0.0,0.0007150677604717754
Greenlee,15,0.0,0.0007150677604717754
Aziza Hamid,41,0.0,0.0009747136422473017
Suruc,41,0.0,0.0009747136422473017
Peshmerga,76,0.00027172597369378305,0.0018326099166783916
Kiymet Ergun,41,0.0,0.0009747136422473017
Kurd,41,0.0,0.0009747136422473017
Cundi Minaz,41,0.0,0.0009747136422473017
Minaz,41,0.0,0.0009747136422473017
Kobani,43,4.427933576466643e-06,0.0009858440722279131
Jurf al-Sakhar,41,0.0,0.0009747136422473017
Kenji Goto,114,0.0002270567394930819,0.0020933590284231956
Goto,41,0.0,0.0009747136422473017
Junko Ishido,39,0.0,0.0009712964703322827
Ayn al-Arab,41,0.0,0.0009747136422473017
Safi al-Kasasbeh,39,0.0,0.0009712964703322827
Al-Kasasbeh's,39,0.0,0.0009712964703322827
Moath al-Kasasbeh,39,0.0,0.0009712964703322827
Jordan,239,0.0009544426334849622,0.012105449129378821
Al-Alam,41,0.0,0.0009747136422473017
Mohammed Musallam,39,0.0,0.0009712964703322827
Neve Yaakov,39,0.0,0.0009712964703322827
Musallam,39,0.0,0.0009712964703322827
Yazidis,41,0.0,0.0009747136422473017
Ramadi,80,9.03583773677145e-05,0.0022159991804381134
Mohammed Ashraf,39,0.0,0.0009712964703322827
Prince Faisal bin Khaled bin Abdulaziz,39,0.0,0.0009712964703322827
Kweiras,41,0.0,0.0009747136422473017
Jaafar Saad,39,0.0,0.0009712964703322827
Sayeda Zeynab,39,0.0,0.0009712964703322827
Jeff Fortenberry,39,0.0,0.0009712964703322827
Anna Eshoo,39,0.0,0.0009712964703322827
Fortenberry,39,0.0,0.0009712964703322827
Yezidi,39,0.0,0.0009712964703322827
Toufic Baaklini,39,0.0,0.0009712964703322827
Baaklini,39,0.0,0.0009712964703322827
Cardinal Donald Wuerl,39,0.0,0.0009712964703322827
Wuerl,39,0.0,0.0009712964703322827
Chris Cuomo,307,0.001041884682895223,0.027348521329808938
Sandra Day O'Connor,80,5.584569369423629e-05,0.005178160752037077
O'Connor,2,0.0,0.0001144456579857203
Herman Cain,155,0.00017002126872503473,0.01532070403238046
Carly Fiorina,671,0.001115400964838688,0.041053791600002894
Brian Kilmeade,42,2.5636653580535105e-06,0.007324991476256981
Jim DeMint,134,2.2589445985853926e-05,0.017486597256834827
Fiorina,462,0.000709293028092589,0.031287614587789725
Rudy Giuliani,545,0.000951930101943149,0.04377045452718007
Giuliani,500,0.0021509305637415757,0.03846355532030662
Bernie,632,0.001146390125259365,0.042648598345558966
Neil Sroka,8,0.0,0.0014346384054941517
Jeff Weaver,162,0.0001105272397522848,0.01456143208068613
Ben Wikler,8,0.0,0.0014346384054941517
Whitewater,261,0.00011600815311279232,0.023991193707075368
Clintons,1529,0.004978517401124789,0.08494620472158322
Monica Lewinsky,304,0.00028210028366373505,0.026931818706643
Lewinsky,162,7.067551680519508e-05,0.015017666225051077
Osama bin Laden,365,0.0022753323297890426,0.026841749039202185
Blackberry,105,1.9373861625064607e-05,0.009981175628584282
Valls,11,0.0,0.00012160019666793696
Bernard Cazeneuve,108,0.00020944130073435413,0.002273020036899465
Jacques Meric,9,0.0,0.00012117372086131733
Said,117,0.0004025176189616654,0.0017418142616285447
Chérif Kouachi,61,0.00016701526409142192,0.0009577064424110354
Hamyd Mourad,26,3.297313451146262e-06,0.00037411878187031724
Manuel Valls,133,0.00044991949856496385,0.0026072459112828033
Antonin Scalia,475,0.0019274979960911245,0.030511075652803657
Jeb Bush’s,292,0.00026285272455723853,0.02456492992147783
Assad,212,0.0017544597078627527,0.01400817842817218
Scalia,397,0.0012144649656247901,0.027404204922760505
Heller,45,1.9509969274402747e-05,0.005933837938321416
R. Ted Cruz,16,0.0,0.002262708142572506
David Bernstein,33,4.1469292845311e-06,0.0037462592087177658
George Mason,16,0.0,0.002262708142572506
Tom Phillips,16,0.0,0.002262708142572506
Toby Neugebauer,77,3.087038706434951e-05,0.007734457677446932
William Rehnquist,138,0.0001250232667321622,0.010128616543542687
Greg Abbott,258,0.0017794294989941155,0.024602813128740797
Abbott,49,2.8501839884093934e-05,0.0053722870625970785
Jim Ho,16,0.0,0.002262708142572506
Ho,16,0.0,0.002262708142572506
Josh Uretsky,12,0.0,0.0021365534948661904
Weaver,156,6.463149933567094e-05,0.01504390531145
Robby Mook,365,0.00040900787200590924,0.025899036505520553
Brian Fallon,256,0.00019455479116666657,0.021953949331167077
RoseAnn DeMoro,12,0.0,0.0021365534948661904
Howard Dean,104,4.485777421867952e-05,0.011891743947028225
John Napier Tye,7,0.0,0.0011059688598311003
Tye,9,0.0,0.0011098591655643658
Gmails,7,0.0,0.0011059688598311003
Edward Snowden's,7,0.0,0.0011059688598311003
Snowden,70,6.836205967652383e-05,0.009146640403427928
Andrew Napolitano,98,6.434217748603499e-05,0.012093140543114882
Martha Stewart,17,0.0,0.0012392350422800401
Timothy Gill,17,0.0,0.0012392350422800401
Patrick Kennedy,73,2.4792770476306252e-05,0.004596099606636551
Gill,30,0.0003011687794777193,0.0012668854919352858
Brian Hale,17,0.0,0.0012392350422800401
Hale,17,0.0,0.0012392350422800401
Andrea G. Williams,17,0.0,0.0012392350422800401
Kennedy,533,0.0038795892777621034,0.02748073289559854
Kate Duval,17,0.0,0.0012392350422800401
Duval,19,0.0,0.0012435945961838542
David Kendall,90,5.463529823542995e-05,0.005454115331016004
Lois Lerner,107,0.00017281209469274252,0.010749122573078836
Pamela K. Browne,39,1.5363256741595728e-05,0.004817782602742597
Catherine Herridge,270,0.0031222125460108685,0.009398282388888731
Gary Johnson,591,0.001064864311647043,0.04577509344129784
Joe Hunter,138,7.931579515305685e-06,0.017041697660486067
Bill Weld,78,6.030429286704839e-05,0.008975367830752737
Weld,105,0.000253239249207025,0.009564702111781205
Liz Mair,78,5.951424888370925e-05,0.01072482570975067
Mair,26,1.2325998507928807e-05,0.0037033543485936815
Scott Rigell,108,2.2491545458282083e-05,0.012188056256151873
Reid Ribble,21,0.0,0.0034602679430440894
Mike Coffman,123,0.00047301109417770965,0.009577642804735997
Hunter,203,0.00038443468635947177,0.021096588019211316
Joseph Russo III,21,0.0,0.0034602679430440894
Sarah Palin,789,0.002292516352287381,0.05230278436691694
Gary Johnson's,50,0.00012781685461126953,0.0038768288496329258
Anderson Cooper,337,0.002950221218356047,0.022276221538417473
Drew Carey,21,0.0,0.0034602679430440894
Donna Brazile,160,8.664240213733109e-05,0.017455121588162037
Don Fowler,22,0.0,0.0031547835218334406
David Shuster,22,0.0,0.0031547835218334406
Cokie Roberts,22,0.0,0.0031547835218334406
Roberts,346,0.0015427561625628034,0.024019350241850427
Ted Strickland,400,0.0002763828839071957,0.03723505528964152
Kaine,645,0.0007410943142240598,0.0524904196537092
Doug Wead,22,0.0,0.0031547835218334406
George McGovern,170,6.372869499710025e-05,0.01849026961671314
Thomas Eagleton,22,0.0,0.0031547835218334406
Rick Hasen,31,2.794300110452703e-06,0.004619629019350754
Hasen,32,3.1837797380427594e-06,0.004678728380335262
Adam Shaw,73,2.449861351454227e-05,0.009227679200157185
@AdamShawNY,45,3.428592953928872e-06,0.0070396390115386905
Frederic Van Leeuw,50,0.00017828208155746113,0.0009002209329492791
Paul Van Tigchelt,13,0.0,3.6291021238713454e-05
Ibrahim El Bakraoui,19,8.3924239452103e-07,4.983578220766568e-05
Khalid El Bakraoui,21,1.8042428657797167e-06,4.9950850916437316e-05
Kalashnikov,31,3.944133879797598e-05,0.0002459402938665749
RTBF,38,0.00016126851724033558,0.0006440011964100565
Najim Laachraoui,63,0.0003570704139939249,0.0011260747632102165
Paul Cruickshank,48,0.00017543427013172512,0.0010136411758564262
Van Leeuw,37,5.1442269575590474e-05,0.0003159505501138653
Ibrahim El Bakraoui's,17,8.3924239452103e-07,4.966099470355019e-05
Abdeslam,90,0.0007293573810124493,0.0019460255532099627
Bakraoui,49,4.393913168284634e-05,0.0005017150782633857
Abeslam,13,0.0,3.6291021238713454e-05
Peter Bergen,64,0.002345698738589812,0.0034356925839766355
Kate Steinle,41,0.00033017598386293604,0.004398817344490932
Raul A. Reyes,55,3.210332366253487e-05,0.0070952098269694225
Juan Francisco Lopez-Sanchez,11,9.714683723000604e-06,0.0008906378313164124
Aurora,46,0.00012152921202210023,0.0035900277104785653
Lopez-Sanchez,10,2.867851516865538e-05,0.0004254390209796189
Steinle,15,6.236657959124386e-06,0.002268429107049006
Netanyahu,442,0.003473372530775924,0.02348604022469081
Isaac Herzog,44,7.982689307477475e-05,0.0015170349361721721
Mahmud Abbas,4,0.0,0.00023727811765179542
Chelsea,187,5.0107783752817684e-05,0.01844972914860519
John Lewis,213,0.00018503513663668103,0.01972910348837359
Lewis,144,0.0020195968301190683,0.011086281047763952
Brown Chapel,6,0.0,0.0005793745518228657
Jim Crow,145,0.00034037870105281174,0.011855554617825668
